Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0402,3,100n,C1525
"C10, C11, C6, C7, C8, C9",0603,6,10uF/10V,C19702
"C12, C13, C4",0603,3,10u/35V,C194427
C5,0402,1,100n,C307331
D1,0603,1,LED (red),
D2,0603,1,LED (grn),
D3,0603,1,LED (blu),
D4,BF998215,1,BAS3007ARPPE6327HTSA1,C6430958
"D5, D6",NSR20F40NXT5G,2,NSR20F40NXT5G,C153761
D7,0603,1,LED (ylw),
IC1,SOT95P280X145-6N,1,TPS560430YFQDBVRQ1,C1849549
IC2,SON65P200X200X80-7N,1,NCP730BMT1500TBG,C892817
J1,PinHeader_2x10_P1.27mm_Vertical,1,Conn_02x10_Counter_Clockwise,
JP1,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,Mode,
L1,WE-TPC_282892,1,"4.7uH, 0.8A",C2649333
L2,WE-TPC_282892,1,"10uH, 1A",C2045611
"Q1, Q3",SOT-363_SC-70-6,2,BC847BDW1,C82368
Q2,SOT-363_SC-70-6,1,BC857BDW1,C154783
"R1, R27",0402,2,4.7k,C25900
"R10, R9",0402,2,470,C25117
"R11, R16",0402,2,22,C25092
R12,0402,1,5.1k,C25905
"R13, R14, R18",0402,3,10k,C25744
R15,0402,1,3.3k,C25890
"R17, R2, R3",0402,3,47k,C25792
"R19, R20",0402,2,220k,C25767
R21,0603,1,200,C8218
"R22, R23",0402,2,9.1k,C25926
R24,0603,1,75,C4275
R25,0402,1,120k,C25750
R26,0402,1,68k,C36871
R28,0402,1,169k,C25758
"R29, R7",0402,2,22k,C25768
"R4, R5, R8",0603,3,4.7k,C23162
R6,0402,1,51k,C25794
R77,0603,1,6.8k,C23212
U1,UQFN-48-1EP_6x6mm_P0.4mm_EP4.62x4.62mm,1,AVR-64DA48,C3227399
"U2, U4",SOT-23-5,2,MAX40203AUK,C2653639
U3,SOT-23-6,1,MCP1640BCH,C478087
